instance,n,value,BSPR,BSPR,EBSPR,EBSPR,BSS,BSS,EBSS,EBSS,BOEM,EBOEM,KL,Louvain
,,,15log_2{n},n,15log_2{n},n,15log_2{n},n,15log_2{n},n,,,,
,,,1.438,1.469,0.234,0.234,5.516,5.484,0.438,0.406,0.141,0.016,0.672,0.016
p500-5-9,500,16629,15013,15013,15090,15090,14199,14199,14564,14564,14722,15354,15399,15354
,,,1.297,1.328,0.203,0.203,1.594,1.547,0.406,0.344,0.078,0.016,0.781,0.016
p500-5-10,500,17360,15994,15994,15915,15915,15363,15363,15110,15110,15381,16022,16577,16022
,,,1.719,1.625,0.219,0.219,3.672,3.641,0.391,0.359,0.109,0.016,1.469,0.016
p500-100-1,500,308896,276113,276113,281848,281848,263502,263502,275841,275841,272411,281666,287633,281666
,,,1.344,1.344,0.203,0.203,2.594,2.656,0.906,0.953,0.094,0.016,1.016,0.016
p500-100-2,500,310241,284023,284023,284217,284217,269473,269473,272875,272875,283078,284709,292285,284709
,,,1.703,1.641,0.172,0.172,2.672,2.672,0.422,0.422,0.141,0.016,1,0.016
p500-100-3,500,310477,282799,282799,280250,280250,263793,263793,272249,272249,277751,279520,291417,279520
,,,1.672,1.719,0.234,0.188,1.219,1.234,0.484,0.531,0.109,0.016,1,0.016
p500-100-4,500,309567,271145,271145,282266,282266,252460,252460,271713,271713,278248,285380,288661,285380
,,,1.156,1.188,0.234,0.219,1.594,1.609,0.766,0.734,0.172,0.016,0.656,0.016
p500-100-5,500,309135,271617,271617,280486,280486,258711,258711,265576,265576,269626,281109,289774,281109
,,,1.859,1.922,0.188,0.188,3.312,3.156,0.672,0.734,0.141,0.016,0.891,0.031
p500-100-6,500,310280,285901,285901,289571,289571,272604,272604,270870,270870,281267,291968,291653,291968
,,,1.781,1.734,0.312,0.297,4.438,4.344,0.578,0.578,0.156,0.016,0.688,0.031
p500-100-7,500,310063,276949,276949,284759,284759,264023,264023,273490,273490,279974,280627,286058,280627
,,,1.188,1.078,0.203,0.156,2.438,2.328,0.594,0.625,0.125,0.016,0.859,0.016
p500-100-8,500,303148,271598,271598,274519,274519,258197,258197,264563,264563,273130,272072,285390,271692
,,,1.188,1.219,0.156,0.188,1.922,1.844,0.531,0.562,0.125,0.016,1.609,0.016
p500-100-9,500,305305,273206,273206,283786,283786,260489,260489,263849,263849,271083,283248,291736,283248
,,,1.375,1.359,0.359,0.344,2.703,2.734,0.422,0.422,0.109,0,1.203,0.016
p500-100-10,500,314864,275285,275285,284286,284286,254828,254828,268472,268472,279188,286386,288958,286386
,,,1.219,1.188,0.203,0.25,1.062,1.047,0.5,0.516,0.156,0.016,0.75,0.016
p1000-1,1000,885281,800863,800863,813100,813100,766494,766494,775285,775285,797599,808149,821830,808149
,,,25.625,26.141,3.859,4.188,59.672,58.484,8.297,8.234,1.281,0.141,6.047,0.141
p1000-2,1000,881751,804044,804044,817418,817418,760249,760249,772148,772148,807456,819431,824674,819431
,,,21.766,22.219,3.625,3.781,46.406,46.203,5.547,5.719,1.391,0.109,4.203,0.109
p1000-3,1000,866488,775124,775124,785748,785748,720054,720054,740259,740259,773667,776820,793138,776820
,,,31.219,31.766,4.453,4.641,46.422,46.578,4.922,4.703,1.406,0.078,5.109,0.094
